SampleID	SubjectID	GDColl	type
SRX198429	PT12261	8	1
SRX198526	PT12261	8	1
SRX198512	PT12271	8	1
SRX198825	PT12271	8	1
SRX201438	PT12331	8	1
SRX214755	PT12331	8	1
SRX200873	PT12351	8	1
SRX216966	PT12351	8	1
SRX200918	PT12361	8	1
SRX214756	PT12361	8	1
SRX198406	PT12431	8	1
SRX198658	PT12431	8	1
SRX214959	PT12431	8	1
SRX198833	PT12512	8	1
SRX198874	PT12512	8	1
SRX201337	PT12521	8	1
SRX214863	PT12521	8	1
SRX336932	PT12961	8	1
SRX337018	PT20191	8	1
SRX362134	PT20191	8	1
SRX337065	PT20201	8	1
SRX337060	PT20301	8	1
SRX337067	PT20361	8	1
SRX337054	PT20371	8	1
SRX337021	PT20411	8	1
SRX336694	PT20521	8	1
SRX336684	PT20571	8	1
SRX336763	PT20591	8	1
SRX336830	PT20621	8	1
SRX336789	PT20641	8	3
SRX336760	PT20741	8	1
SRX336705	PT20821	8	1
SRX336761	PT20841	8	1
SRX336751	PT20851	8	3
SRX336744	PT20871	8	1
SRX336798	PT20891	8	1
SRX336829	PT20951	8	1
SRX336836	PT20991	8	3
SRX336718	PT21011	8	1
SRX362135	PT21011	8	1
SRX336748	PT21052	8	1
SRX336831	PT21101	8	3
SRX336778	PT21141	8	1
SRX336692	PT21161	8	1
SRX336821	PT21291	8	1
SRX336678	PT21351	8	1
SRX336735	PT21371	8	1
SRX336691	PT21401	8	1
SRX336687	PT21431	8	1
SRX336701	PT21441	8	1
SRX336745	PT21461	8	1
SRX336972	PT12931	9	1
SRX200829	PT10051	11	1
SRX216991	PT10051	11	1
SRX214834	PT10141	11	1
SRX218339	PT10161	11	1
SRX200956	PT10261	11	1
SRX216972	PT10261	11	1
SRX200912	PT10271	11	1
SRX216955	PT10271	11	1
SRX218817	PT10371	11	1
SRX214798	PT10451	11	1
SRX214711	PT10501	11	1
SRX214740	PT10521	11	1
SRX218344	PT10561	11	1
SRX214939	PT10811	11	1
SRX213714	PT10921	11	1
SRX200919	PT10982	11	1
SRX200991	PT11091	11	1
SRX214714	PT11091	11	1
SRX200910	PT11141	11	1
SRX217039	PT11141	11	1
SRX201026	PT11191	11	1
SRX218348	PT11191	11	1
SRX218365	PT11191	11	1
SRX200937	PT11202	11	1
SRX216960	PT11202	11	1
SRX200864	PT11232	11	1
SRX214896	PT11232	11	1
SRX200063	PT11241	11	1
SRX214627	PT11241	11	1
SRX201352	PT11311	11	1
SRX201355	PT11412	11	1
SRX200092	PT11421	11	1
SRX201478	PT11441	11	1
SRX214964	PT11441	11	1
SRX201361	PT11461	11	3
SRX214683	PT11461	11	3
SRX214668	PT11462	11	1
SRX201570	PT11462	11	3
SRX201464	PT11501	11	1
SRX200113	PT11601	11	1
SRX200104	PT11621	11	1
SRX201357	PT11792	11	1
SRX198475	PT11821	11	1
SRX198838	PT11821	11	1
SRX198494	PT11891	11	1
SRX198642	PT11891	11	1
SRX198345	PT11981	11	1
SRX198516	PT11981	11	1
SRX198122	PT12121	11	1
SRX198914	PT12121	11	1
SRX198505	PT12151	11	1
SRX198798	PT12151	11	1
SRX198417	PT12211	11	1
SRX198463	PT12211	11	1
SRX198708	PT12251	11	1
SRX198921	PT12251	11	1
SRX198087	PT12261	11	1
SRX198433	PT12271	11	1
SRX198763	PT12271	11	1
SRX200105	PT12331	11	1
SRX214760	PT12331	11	1
SRX201568	PT12351	11	1
SRX214910	PT12351	11	1
SRX201374	PT12361	11	1
SRX214621	PT12361	11	1
SRX198871	PT12431	11	1
SRX198872	PT12431	11	1
SRX198336	PT12512	11	1
SRX198483	PT12512	11	1
SRX200945	PT12521	11	1
SRX214929	PT12521	11	1
SRX200916	PT12601	11	1
SRX200979	PT12651	11	1
SRX214659	PT12651	11	1
SRX200902	PT12671	11	1
SRX214860	PT12671	11	1
SRX336945	PT20011	11	1
SRX336936	PT20021	11	1
SRX336983	PT20091	11	1
SRX337064	PT20151	11	1
SRX337008	PT20181	11	1
SRX337049	PT20191	11	1
SRX337059	PT20201	11	1
SRX336987	PT20221	11	3
SRX337003	PT20291	11	1
SRX362133	PT20291	11	1
SRX336988	PT20301	11	1
SRX336907	PT20331	11	1
SRX336909	PT20351	11	3
SRX337040	PT20361	11	1
SRX336965	PT20371	11	1
SRX337025	PT20381	11	1
SRX336952	PT20401	11	1
SRX336970	PT20411	11	1
SRX337026	PT20431	11	1
SRX336710	PT20451	11	1
SRX336686	PT20481	11	1
SRX336770	PT20501	11	1
SRX336828	PT20521	11	1
SRX336698	PT20541	11	1
SRX336749	PT20571	11	1
SRX336769	PT20591	11	1
SRX336823	PT20621	11	1
SRX336773	PT20641	11	3
SRX336813	PT20701	11	1
SRX336712	PT20741	11	1
SRX336720	PT20821	11	1
SRX336820	PT20851	11	3
SRX336700	PT20951	11	1
SRX336793	PT20991	11	1
SRX336801	PT21011	11	1
SRX336807	PT21021	11	1
SRX336739	PT21031	11	1
SRX336772	PT21052	11	1
SRX336762	PT21101	11	3
SRX336733	PT21141	11	1
SRX336812	PT21161	11	1
SRX336767	PT21291	11	1
SRX336809	PT21351	11	1
SRX336695	PT21371	11	1
SRX336822	PT21401	11	1
SRX336742	PT21431	11	1
SRX336802	PT21441	11	1
SRX336834	PT21461	11	1
SRX336797	PT21471	11	1
SRX213716	PT30061	11	3
SRX336989	PT12881	12	1
SRX214923	PT10141	14	1
SRX201031	PT10261	14	3
SRX216950	PT10261	14	3
SRX200935	PT10271	14	1
SRX216984	PT10271	14	1
SRX213713	PT10341	14	1
SRX214724	PT10371	14	1
SRX200911	PT10391	14	1
SRX213726	PT10451	14	1
SRX213719	PT10501	14	1
SRX198089	PT10521	14	1
SRX213756	PT10521	14	1
SRX218175	PT10551	14	1
SRX200973	PT10561	14	1
SRX218346	PT10561	14	1
SRX218799	PT10561	14	1
SRX213711	PT10751	14	1
SRX213715	PT10882	14	1
SRX201489	PT11041	14	1
SRX214757	PT11041	14	1
SRX220046	PT11091	14	1
SRX214710	PT11112	14	1
SRX200898	PT11141	14	1
SRX214823	PT11141	14	1
SRX218178	PT11202	14	1
SRX218343	PT11202	14	1
SRX200897	PT11232	14	1
SRX213731	PT11232	14	1
SRX200871	PT11241	14	1
SRX217034	PT11241	14	1
SRX201338	PT11311	14	1
SRX200116	PT11361	14	1
SRX218816	PT11421	14	1
SRX200109	PT11441	14	1
SRX201408	PT11541	14	1
SRX201483	PT11621	14	1
SRX201404	PT11681	14	1
SRX200119	PT11691	14	1
SRX200120	PT11701	14	1
SRX200110	PT11731	14	1
SRX198085	PT11821	14	1
SRX198656	PT11821	14	1
SRX198458	PT11891	14	1
SRX198894	PT11891	14	1
SRX198854	PT11981	14	1
SRX198904	PT11981	14	1
SRX198537	PT12121	14	1
SRX198671	PT12121	14	1
SRX198716	PT12151	14	1
SRX198863	PT12151	14	1
SRX198891	PT12211	14	1
SRX198928	PT12211	14	1
SRX198523	PT12251	14	1
SRX198759	PT12251	14	1
SRX198419	PT12261	14	1
SRX198783	PT12261	14	1
SRX198420	PT12271	14	1
SRX198935	PT12271	14	1
SRX200114	PT12331	14	1
SRX201368	PT12351	14	1
SRX214947	PT12351	14	1
SRX200112	PT12392	14	3
SRX198303	PT12431	14	1
SRX198926	PT12431	14	1
SRX214973	PT12512	14	1
SRX201041	PT12521	14	1
SRX217013	PT12521	14	1
SRX200974	PT12651	14	1
SRX214945	PT12651	14	1
SRX200062	PT12671	14	1
SRX214706	PT12671	14	1
SRX337046	PT12931	14	1
SRX389512	PT12931	14	1
SRX337007	PT20121	14	1
SRX336974	PT20341	14	1
SRX336704	PT20551	14	1
SRX336795	PT20811	14	1
SRX336837	PT20841	14	1
SRX336814	PT20871	14	1
SRX336683	PT20891	14	1
SRX337019	PT12961	15	1
SRX213737	PT10141	21	1
SRX214715	PT10151	21	1
SRX214722	PT10161	21	1
SRX200924	PT10261	21	1
SRX214667	PT10261	21	1
SRX389914	PT10371	21	1
SRX218352	PT10451	21	1
SRX200914	PT10461	21	1
SRX214718	PT10471	21	1
SRX218185	PT10521	21	1
SRX214874	PT10551	21	1
SRX389878	PT10561	21	1
SRX213710	PT10621	21	1
SRX213712	PT10681	21	1
SRX213750	PT10811	21	1
SRX213747	PT10952	21	1
SRX389974	PT11091	21	1
SRX389952	PT11141	21	2
SRX337061	PT11301	21	1
SRX389870	PT11311	21	1
SRX389988	PT11412	21	1
SRX389887	PT11421	21	1
SRX389947	PT11421	21	1
SRX389992	PT11441	21	1
SRX389944	PT11461	21	3
SRX389991	PT11461	21	3
SRX389859	PT11462	21	3
SRX389979	PT11501	21	1
SRX389904	PT11541	21	1
SRX389998	PT11541	21	1
SRX389877	PT11621	21	1
SRX389910	PT11621	21	1
SRX389915	PT11681	21	1
SRX389923	PT11681	21	1
SRX389934	PT11691	21	1
SRX389958	PT11701	21	2
SRX389990	PT11731	21	1
SRX389994	PT11821	21	1
SRX337014	PT11891	21	1
SRX390009	PT11981	21	1
SRX389978	PT12072	21	1
SRX337077	PT12121	21	1
SRX336920	PT12151	21	1
SRX389964	PT12211	21	1
SRX389880	PT12251	21	3
SRX390012	PT12251	21	3
SRX389942	PT12261	21	1
SRX389876	PT12271	21	1
SRX389984	PT12331	21	1
SRX389899	PT12351	21	1
SRX336981	PT12431	21	1
SRX389879	PT12512	21	1
SRX389957	PT12521	21	1
SRX389936	PT12651	21	1
SRX389924	PT12671	21	1
SRX337041	PT12751	21	1
SRX336933	PT20011	21	1
SRX337042	PT20021	21	1
SRX337024	PT20091	21	1
SRX336968	PT20121	21	1
SRX336963	PT20151	21	1
SRX337010	PT20181	21	1
SRX337035	PT20191	21	1
SRX337076	PT20201	21	1
SRX337013	PT20221	21	1
SRX336944	PT20291	21	1
SRX336985	PT20301	21	1
SRX337044	PT20341	21	1
SRX336935	PT20351	21	3
SRX336953	PT20371	21	1
SRX337033	PT20381	21	3
SRX337051	PT20411	21	1
SRX336978	PT20431	21	1
SRX336768	PT20451	21	1
SRX336771	PT20481	21	1
SRX336729	PT20501	21	1
SRX336732	PT20521	21	1
SRX336783	PT20541	21	1
SRX362143	PT20551	21	1
SRX336951	PT11301	60	3
SRX362144	PT11891	60	1
SRX336916	PT12121	60	1
SRX336912	PT12431	60	1
SRX337034	PT11301	150	3
SRX336993	PT11891	150	2
SRX336998	PT12121	150	1
SRX336925	PT12431	150	1
SRX336990	PT12121	265	1
SRX336995	PT11301	365	3
SRR7829767	CG1	0	1
SRR7829834	CG18	0	1
SRR7829768	CG2	0	1
SRR7938881	CG23	0	1
SRR7829857	CG3	0	1
SRR7829856	CG4	0	1
SRR7829859	CG5	0	1
SRR7829858	CG6	0	1
SRR7829745	CG7	0	1
SRR7829850	FIG1	0	1
SRR7829851	FIG2	0	1
SRR7829868	FIG27	0	1
SRR7829842	FIG28	0	1
SRR7829848	FIG3	0	1
SRR7938893	FIG33	0	1
SRR7829849	FIG4	0	1
SRR7829846	FIG5	0	1
SRR7829847	FIG6	0	1
SRR7829754	FIG7	0	1
SRR7829769	FIG8	0	1
SRR7829757	FIG9	0	1
SRR7829854	CG10	1	1
SRR7829771	CG11	1	1
SRR7829770	CG12	1	1
SRR7829894	CG13	1	1
SRR7829895	CG14	1	1
SRR7829892	CG15	1	1
SRR7829893	CG16	1	1
SRR7829835	CG19	1	1
SRR7829832	CG20	1	3
SRR7829833	CG21	1	2
SRR7829827	CG22	1	2
SRR7938874	CG24	1	1
SRR7938873	CG25	1	1
SRR7938867	CG26	1	2
SRR7938868	CG27	1	1
SRR7829744	CG8	1	1
SRR7829855	CG9	1	1
SRR7829758	FIG10	1	1
SRR7829886	FIG11	1	1
SRR7829887	FIG12	1	1
SRR7829884	FIG13	1	1
SRR7829885	FIG14	1	1
SRR7829882	FIG15	1	1
SRR7829883	FIG16	1	1
SRR7829844	FIG29	1	1
SRR7829845	FIG30	1	2
SRR7829839	FIG31	1	1
SRR7829840	FIG32	1	3
SRR7938894	FIG34	1	1
SRR7938895	FIG35	1	1
SRR7938896	FIG36	1	1
SRR7938897	FIG37	1	3
SRR7938898	FIG38	1	1
SRR7938899	FIG39	1	3
SRR7938900	FIG40	1	1
SRR7829890	CG17	2	1
SRR7938913	CG28	2	1
SRR7938914	CG29	2	1
SRR7829880	FIG17	2	1
SRR7829881	FIG18	2	1
SRR7829878	FIG19	2	1
SRR7829879	FIG20	2	1
SRR7829803	FIG21	2	1
SRR7829802	FIG22	2	1
SRR7829801	FIG23	2	1
SRR7829800	FIG24	2	1
SRR7829799	FIG25	2	1
SRR7829798	FIG26	2	1
SRR7938891	FIG41	2	2
SRR7829891	CG1	7	1
SRR7829823	FIG12	7	1
SRR7829780	FIG20	7	1
SRR7829804	FIG4	7	1
SRR7829818	FIG7	7	1
SRR7829820	FIG9	7	1
SRR7829749	CG12	8	1
SRR7829730	CG16	8	1
SRR7829888	CG2	8	1
SRR7829897	CG5	8	1
SRR7829781	FIG19	8	1
SRR7829782	FIG22	8	1
SRR7829841	FIG27	8	1
SRR7829783	FIG21	9	1
SRR7938910	FIG35	9	1
SRR7829797	FIG1	10	1
SRR7829821	FIG10	10	1
SRR7829824	FIG13	10	1
SRR7829778	FIG18	10	1
SRR7829789	FIG26	10	1
SRR7829819	FIG8	10	1
SRR7829812	CG20	11	3
SRR7938872	CG24	11	3
SRR7829889	CG3	11	1
SRR7829751	CG6	11	1
SRR7938908	FIG41	11	1
SRR7829747	CG10	12	1
SRR7829811	CG21	12	2
SRR7938901	CG27	12	3
SRR7829753	CG8	12	1
SRR7829752	CG9	12	1
SRR7938892	FIG33	12	1
SRR7938906	FIG39	12	1
SRR7829746	CG11	13	1
SRR7829748	CG13	13	1
SRR7829756	CG14	13	1
SRR7829813	CG19	13	1
SRR7938871	CG23	13	3
SRR7938890	CG29	13	1
SRR7829825	FIG14	13	1
SRR7829796	FIG2	13	1
SRR7829785	FIG23	13	1
SRR7938909	FIG34	13	1
SRR7829755	CG15	14	1
SRR7829814	CG18	14	1
SRR7938870	CG26	14	1
SRR7938902	CG28	14	1
SRR7829750	CG7	14	1
SRR7829822	FIG11	14	1
SRR7829860	FIG30	14	1
SRR7829862	FIG31	14	1
SRR7938911	FIG36	14	1
SRR7938905	FIG38	14	1
SRR7829836	FIG28	15	1
SRR7938869	CG25	16	1
SRR7829896	CG4	16	1
SRR7829805	FIG3	16	1
SRR7829865	FIG32	16	1
SRR7938912	FIG37	16	1
SRR7938907	FIG40	16	1
SRR7829816	FIG5	16	1
SRR7829809	CG22	17	3
SRR7829777	FIG15	17	1
SRR7829776	FIG16	17	1
SRR7829779	FIG17	18	1
SRR7829784	FIG24	18	1
SRR7829788	FIG25	18	1
SRR7829861	FIG29	18	1
SRR7829817	FIG6	18	1
SRR7829731	CG17	19	1
SRR7829787	FIG2	22	1
SRR7829728	CG1	23	1
SRR7829806	CG19	33	2
SRR7829864	FIG27	33	1
SRR7829793	FIG4	37	1
SRR7829870	CG12	38	1
SRR7829869	CG17	38	1
SRR7829729	CG2	38	1
SRR7829786	FIG1	38	1
SRR7829794	FIG7	39	1
SRR7829872	CG10	42	1
SRR7829773	CG21	42	2
SRR7829724	CG5	42	1
SRR7829725	CG6	42	1
SRR7829739	FIG9	42	1
SRR7829875	CG15	43	1
SRR7829873	CG9	43	1
SRR7829866	FIG30	43	1
SRR7829795	FIG8	43	1
SRR7938887	CG25	44	3
SRR7829736	FIG12	44	1
SRR7938882	FIG41	44	1
SRR7829871	CG11	45	1
SRR7938889	CG23	45	2
SRR7829732	CG7	45	1
SRR7829738	FIG10	45	3
SRR7829792	FIG3	45	1
SRR7938878	FIG37	45	1
SRR7829775	CG22	46	2
SRR7829867	FIG28	46	1
SRR7829790	FIG5	47	1
SRR7938903	FIG33	48	1
SRR7938884	CG28	49	2
SRR7829764	FIG20	49	1
SRR7938876	FIG35	49	1
SRR7938886	CG26	50	3
SRR7829743	FIG13	50	1
SRR7829763	FIG19	50	1
SRR7938875	FIG36	50	1
SRR7829791	FIG6	50	1
SRR7829877	CG13	51	1
SRR7829727	CG4	51	1
SRR7829737	FIG11	51	1
SRR7829766	FIG22	51	1
SRR7829876	CG14	52	1
SRR7829734	FIG18	52	1
SRR7829765	FIG21	52	1
SRR7829874	CG16	53	1
SRR7938883	CG29	53	2
SRR7829733	CG8	53	1
SRR7829742	FIG14	53	1
SRR7938877	FIG38	53	2
SRR7938880	FIG39	53	1
SRR7829772	CG20	55	2
SRR7938885	CG27	55	2
SRR7829726	CG3	55	1
SRR7829762	FIG26	55	1
SRR7829759	FIG23	56	1
SRR7938888	CG24	57	2
SRR7829741	FIG15	57	1
SRR7829807	CG18	58	2
SRR7829740	FIG16	58	1
SRR7829853	FIG29	58	3
SRR7829828	FIG32	58	1
SRR7938904	FIG34	58	1
SRR7829831	FIG31	59	1
SRR7829735	FIG17	60	1
SRR7938879	FIG40	60	1
SRR7829760	FIG24	61	1
SRR7829761	FIG25	63	1
SRR9865601	TT0108A	2	1
SRR9865780	TT0108B	2	1
SRR9865443	TT0122B	2	2
SRR9865798	TT0132B	2	1
SRR9865588	TT0168A	2	3
SRR9865819	TT0171A	2	1
SRR9865825	TT0181A	2	2
SRR9865692	TT0181B	2	1
SRR9865575	TT0185A	2	1
SRR9865465	TT0101B	4	1
SRR9865564	N005	10	1
SRR9865554	N015	10	1
SRR9865440	N029	10	1
SRR9865786	N004	11	1
SRR9865487	N022	11	1
SRR9865646	TT0122A	11	2
SRR9865444	TT0122B	11	2
SRR9865709	N038	12	1
SRR9865652	N040	12	1
SRR9865553	N015	13	1
SRR9865765	N018	13	1
SRR9865524	N039	14	1
SRR9865785	N003	15	1
SRR9865549	N004	15	1
SRR9865766	N037	15	1
SRR9865654	TT0160B	16	1
SRR9865826	TT0181A	16	1
SRR9865691	TT0181B	16	2
SRR9865623	N033	17	1
SRR9865660	N008	18	2
SRR9865608	N020	18	1
SRR9865429	N027	18	2
SRR9865439	N029	18	1
SRR9865494	N019	21	1
SRR9865605	N020	21	1
SRR9865486	N022	21	1
SRR9865708	N038	22	1
SRR9865521	N039	22	1
SRR9865784	N003	23	1
SRR9865550	N004	23	1
SRR9865834	N007	23	1
SRR9865742	N025	23	1
SRR9865694	N028	23	1
SRR9865451	N001	24	1
SRR9865767	N037	24	1
SRR9865668	N009	25	1
SRR9865775	N003	26	1
SRR9865760	N018	26	1
SRR9865506	N035	26	1
SRR9865452	N001	27	1
SRR9865473	N002	27	1
SRR9865700	N036	27	1
SRR9865565	N005	28	1
SRR9865493	N019	28	1
SRR9865559	N004	29	1
SRR9865638	N030	29	1
SRR9865432	N026	30	1
SRR9865522	N039	30	1
SRR9865536	N041	31	1
SRR9865566	N005	32	3
SRR9865698	N015	32	1
SRR9865697	N038	32	1
SRR9865513	TT0180A	34	2
SRR9865586	TT0180B	34	1
SRR9865496	N019	35	1
SRR9865737	N023	35	1
SRR9865533	N016	36	1
SRR9865604	N021	36	1
SRR9865455	N033	36	1
SRR9865454	N040	36	1
SRR9865474	N002	37	1
SRR9865774	N003	37	1
SRR9865500	N005	37	1
SRR9865560	N004	38	1
SRR9865747	N023	38	1
SRR9865838	N028	38	1
SRR9865519	N039	38	1
SRR9865600	TT0108A	38	3
SRR9865781	TT0108B	38	2
SRR9865587	TT0168A	38	3
SRR9865835	N007	39	1
SRR9865739	N025	39	1
SRR9865418	TT0185A	39	1
SRR9865449	N001	41	1
SRR9865667	N005	41	1
SRR9865831	N010	41	1
SRR9865696	N038	41	1
SRR9865495	N019	42	1
SRR9865639	N030	42	1
SRR9865436	N012	43	1
SRR9865485	N022	43	1
SRR9865788	TT0171A	43	1
SRR9865561	N004	44	1
SRR9865426	N027	44	2
SRR9865438	N029	44	1
SRR9865569	TT0171B	44	2
SRR9865738	N008	45	2
SRR9865721	N013	45	1
